,DMC,MUNICIPIO.4.DIGITOS,COD_MUN4,AREA,NA,NR,SI,NO
375,SANTA ELENA,1118,1118,URBANO,NA,25,925,4234
376,SANTA ELENA,1118,1118,RURAL,NA,50,183,11925
377,SAN FRANCISCO JAVIER,1119,1119,URBANO,NA,NA,60,940
378,SAN FRANCISCO JAVIER,1119,1119,RURAL,NA,41,35,4333
379,SANTA MARIA,1120,1120,URBANO,NA,83,540,7573
380,SANTA MARIA,1120,1120,RURAL,NA,79,123,2333
381,SANTIAGO DE MARIA,1121,1121,URBANO,50,276,1517,12496
382,SANTIAGO DE MARIA,1121,1121,RURAL,NA,35,87,3740
383,TECAPAN,1122,1122,URBANO,NA,32,121,3401
384,TECAPAN,1122,1122,RURAL,NA,NA,94,4049
385,USULUTAN,1123,1123,URBANO,695,937,5875,43989
386,USULUTAN,1123,1123,RURAL,NA,285,460,20823
387,CAROLINA,1201,1201,URBANO,NA,18,52,1141
388,CAROLINA,1201,1201,RURAL,1,156,23,6849
389,CIUDAD BARRIOS,1202,1202,URBANO,1421,345,735,6131
390,CIUDAD BARRIOS,1202,1202,RURAL,NA,385,190,15610
391,COMACARAN,1203,1203,URBANO,NA,12,22,414
392,COMACARAN,1203,1203,RURAL,NA,49,55,2647
393,CHAPELTIQUE,1204,1204,URBANO,NA,23,350,1999
394,CHAPELTIQUE,1204,1204,RURAL,NA,215,378,7763
395,CHINAMECA,1205,1205,URBANO,NA,131,946,5146
396,CHINAMECA,1205,1205,RURAL,NA,235,290,15563
397,CHIRILAGUA,1206,1206,URBANO,NA,51,249,2807
398,CHIRILAGUA,1206,1206,RURAL,NA,283,219,16375
399,EL TRANSITO,1207,1207,URBANO,NA,70,723,6819
400,EL TRANSITO,1207,1207,RURAL,NA,93,189,10469
401,LOLOTIQUE,1208,1208,URBANO,NA,45,127,4236
402,LOLOTIQUE,1208,1208,RURAL,NA,165,362,9981
403,MONCAGUA,1209,1209,URBANO,NA,22,435,5990
404,MONCAGUA,1209,1209,RURAL,NA,144,441,15627
405,NUEVA GUADALUPE,1210,1210,URBANO,NA,27,801,4236
406,NUEVA GUADALUPE,1210,1210,RURAL,1,16,209,3615
407,NUEVO EDEN DE SAN JUAN,1211,1211,URBANO,6,7,1,567
408,NUEVO EDEN DE SAN JUAN,1211,1211,RURAL,NA,23,11,3419
409,QUELEPA,1212,1212,URBANO,NA,16,120,2226
410,QUELEPA,1212,1212,RURAL,NA,51,92,1544
411,SAN ANTONIO,1213,1213,URBANO,NA,7,28,391
412,SAN ANTONIO,1213,1213,RURAL,NA,48,13,4817
413,SAN GERARDO,1214,1214,URBANO,NA,21,101,862
414,SAN GERARDO,1214,1214,RURAL,NA,25,17,4960
415,SAN JORGE,1215,1215,URBANO,NA,58,220,2320
