ID,ID_Alf,Año,Codigo_Departamento,Departamento,Codigo_Municipio_Alf,Codigo_Municipio,Municipio,Territorios_Funcionales,PESS,Tamaño_Municipio,Poblacion,Poblacion_Hombres,Poblacion_Mujeres,Homicidios_PNC,Hom_Multiple,Amenazas,Privacion_Libertad_PNC,Homicidios_Fuego_IML,Homicidios_IML,Homicidios_Mujeres_IML,Lesiones_IML,Lesiones_Mujeres_IML,Lesiones_Hombres,Lesiones_Fuego_IML,Violacion_IML,Vsexual_IML,Violacion_Mujeres_IML,Robo_Hombres_FGR,Robo_Mujeres_FGR,Robo_FGR,Extorsion_FGR,Ingresos_Tasas,Deflactor,Ingresos_Real,ingreso_real_hab,Consumo_KW,Consumo_KW_hab,Pobreza_FISDL,Homicidios_Habitantes,Amenazas_Habitantes,Privacion_Habitantes,Lesiones_Habitantes,Vsexual_Habitantes,Robo_Habitantes,Extorsion_Habitantes
4162008,04162008,2008,4,CHALATENANGO,0416,416,NUEVA CONCEPCION,,No Pertenece,Grande,29306,,,22,2,23,1,18,22,2,45,11,34,3,7,8,6,1,1,5,15,130867.48,88.3,148207.7916194791,5.0572509765625,12985506.24,443.1006164550781,46.6,75.069954,78.482224,3.4122705,153.55217,27.298164,17.061352,51.184059
4172008,04172008,2008,4,CHALATENANGO,0417,417,NUEVA TRINIDAD,,No Pertenece,Pequeño,1656,,,0,0,4,0,0,0,0,2,1,1,0,1,1,1,0,0,0,0,8622.370000000001,88.3,9764.858437146095,5.896653652191162,255933.2,154.5490264892578,65.5,0,241.5459,0,120.77295,60.386475,0,0
4182008,04182008,2008,4,CHALATENANGO,0418,418,OJOS DE AGUA ,,No Pertenece,Pequeño,3730,,,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34269.51,88.3,38810.31710079275,10.40491104125977,708507.0099999999,189.9482574462891,71.8,0,80.428955,26.809652,0,0,0,0
4192008,04192008,2008,4,CHALATENANGO,0419,419,POTONICO,,No Pertenece,Pequeño,1579,,,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,10984.46,88.3,12439.93204983013,7.878361225128174,524148.78,331.9498291015625,76.2,0,63.331223,0,63.331223,0,0,0
4202008,04202008,2008,4,CHALATENANGO,0420,420,SAN ANTONIO DE LA CRUZ,,No Pertenece,Pequeño,1861,,,1,0,3,0,0,1,0,3,2,1,0,0,0,0,0,0,0,1,6161.9,88.3,6978.36919592299,3.749795436859131,320551.42,172.2468719482422,64.7,53.73455,161.20366,0,161.20366,0,0,53.73455
4212008,04212008,2008,4,CHALATENANGO,0421,421,SAN ANTONIO LOS RANCHOS,,No Pertenece,Pequeño,1642,,,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,13279.13,88.3,15038.65232163081,9.158740997314453,340095.4299999999,207.1226806640625,80.2,0,0,0,121.80268,0,0,0
4222008,04222008,2008,4,CHALATENANGO,0422,422,SAN FERNANDO CHALATE,,No Pertenece,Pequeño,2664,,,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,8816.620000000001,88.3,9984.847112117783,3.748065710067749,174091.5,65.34966278076172,81.8,0,75.075073,0,37.537537,0,0,0
4232008,04232008,2008,4,CHALATENANGO,0423,423,SAN FRANCISCO LEMPA,,No Pertenece,Pequeño,870,,,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,7566.62,88.3,8569.218573046433,9.849676132202148,415910.43,478.0579528808594,57.3,0,0,0,114.94253,0,0,114.94253
4242008,04242008,2008,4,CHALATENANGO,0424,424,SAN FRANCISCO MORAZAN,,No Pertenece,Pequeño,3994,,,1,0,3,0,0,1,0,6,2,4,0,1,3,0,0,0,2,0,3921.01,88.3,4440.554926387316,1.111806392669678,383567.59,96.03594970703125,77.2,25.037556,75.112671,0,150.22534,75.112671,50.075111,0
4252008,04252008,2008,4,CHALATENANGO,0425,425,SAN IGNACIO,,No Pertenece,Pequeño,8876,,,1,0,15,1,1,1,1,12,4,8,0,1,4,0,2,0,3,1,29367.33,88.3,33258.58437146093,3.747023820877075,2525785.43,284.5634765625,55.5,11.266336,168.99504,11.266336,135.19603,45.065346,33.799007,11.266336
4262008,04262008,2008,4,CHALATENANGO,0426,426,SAN ISIDRO LABRADOR,,No Pertenece,Pequeño,2637,,,0,0,1,0,0,0,0,1,1,0,0,1,2,1,0,0,0,0,4119.06,88.3,4664.847112117781,1.76899778842926,105178.21,39.88555526733398,75.8,0,37.921883,0,37.921883,75.843765,0,0
4272008,04272008,2008,4,CHALATENANGO,0427,427,SAN JOSE CANCASQUE,,No Pertenece,,,,,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2889.88,88.3,3272.797281993205,,376938.2700000001,,81.3,,,,,,,
4282008,04282008,2008,4,CHALATENANGO,0428,428,SAN JOSE LAS FLORES,,No Pertenece,,,,,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,14720.5,88.3,16671.00792751982,,397840.72,,67.90000000000001,,,,,,,
